x,y,z,x,y,z,ref
0,0,41,-8.5,-14.5,41,V01B
0,0,41,-17,0,41,V03B
0,0,41,-8.5,14.5,41,V05B
0,0,41,8.5,14.5,41,V07B
0,0,41,17,0,41,V09B
0,0,41,8.5,-14.5,41,V11B
-17,0,41,-54,0,4,V03A
-40,0,18,-20,-35,18,H02A
-30,0,28,-15,-26,28,H02B
-20,0,38,-10,-17,38,H02C
-8.5,-14.5,41,-26.8,-46.3,4,V01A
-20,-35,18,20,-35,18,H00A
-15,-26,28,15,-26,28,H00B
-10,-17,38,10,-17,38,H00C
8.5,-14.5,41,26.8,-46.3,4,V11A
20,-35,18,40,0,18,H10A
15,-26,28,30,0,28,H10B
10,-17,38,20,0,38,H10C
17,0,41,54,0,4,V09A
40,0,18,20,35,18,H08A
30,0,28,15,26,28,H08B
20,0,38,10,17,38,H08C
8.5,14.5,41,26.8,46.3,4,V07A
20,35,18,-20,35,18,H06A
15,26,28,-15,26,28,H06B
10,17,38,-10,17,38,H06C
-8.5,14.5,41,-26.8,46.3,4,V05A
-20,35,18,-40,0,18,H04A
-15,26,28,-30,0,28,H04B
-10,17,38,-20,0,38,H04C
